+--------+----------+-----------------------------------------+-----------------------------------+---------------------------------------------------------------------------+--------------------+
| Domain | Method   | URI                                     | Name                              | Action                                                                    | Middleware         |
+--------+----------+-----------------------------------------+-----------------------------------+---------------------------------------------------------------------------+--------------------+
|        | GET|HEAD | /                                       | welcome                           | App\Http\Controllers\WelcomeController@index                              | web,guest          |
|        | GET|HEAD | oauth/scopes                            | passport.scopes.index             | Laravel\Passport\Http\Controllers\ScopeController@all                     | web,auth           |
|        | POST     | oauth/token                             | passport.token                    | Laravel\Passport\Http\Controllers\AccessTokenController@issueToken        | throttle           |
|        | POST     | oauth/token/refresh                     | passport.token.refresh            | Laravel\Passport\Http\Controllers\TransientTokenController@refresh        | web,auth           |
|        | GET|HEAD | oauth/tokens                            | passport.tokens.index             | Laravel\Passport\Http\Controllers\AuthorizedAccessTokenController@forUser | web,auth           |
|        | DELETE   | oauth/tokens/{token_id}                 | passport.tokens.destroy           | Laravel\Passport\Http\Controllers\AuthorizedAccessTokenController@destroy | web,auth           |
|        | POST     | password/email                          | password.email                    | App\Http\Controllers\Auth\ForgotPasswordController@sendResetLinkEmail     | web,guest          |
|        | POST     | password/reset                          | password.update                   | App\Http\Controllers\Auth\ResetPasswordController@reset                   | web,guest          |
|        | GET|HEAD | password/reset                          | password.request                  | App\Http\Controllers\Auth\ForgotPasswordController@showLinkRequestForm    | web,guest          |
|        | GET|HEAD | password/reset/{token}                  | password.reset                    | App\Http\Controllers\Auth\ResetPasswordController@showResetForm           | web,guest          |
|        | GET|HEAD | php                                     |                                   | Closure                                                                   | web                |
|        | GET|HEAD | profile                                 | profile                           | App\Http\Controllers\ProfileController@index                              | web,auth,visiteur  |
|        | POST     | readInbox                               | readInbox                         | App\Http\Controllers\MessageUserController@readInbox                      | web,auth,visiteur  |
|        | GET|HEAD | recetteCachet                           | Recettes Cachet                   | App\Http\Controllers\GestionsController@recetteCachet                     | web,auth,admin     |
|        | GET|HEAD | recetteMoMo                             | Recettes MoMo                     | App\Http\Controllers\GestionsController@recetteMoMo                       | web,auth,admin     |
|        | GET|HEAD | recettePhoto                            | Recette Photo                     | App\Http\Controllers\GestionsController@recettePhoto                      | web,auth,admin     |
|        | GET|HEAD | register                                | register                          | App\Http\Controllers\Auth\RegisterController@showRegistrationForm         | web,guest          |
|        | POST     | register                                |                                   | App\Http\Controllers\Auth\RegisterController@register                     | web,guest          |
|        | POST     | saveComptePerso                         | saveComptePerso                   | App\Http\Controllers\Compte_persoController@saveComptePerso               | web,auth,visiteur  |
|        | GET|HEAD | saveGestion                             | saveGestion                       | App\Http\Controllers\GestionsController@saveGestion                       | web,auth,admin     |
|        | POST     | saveModalAdd                            | saveModalAdd                      | App\Http\Controllers\ModalController@saveModalAdd                         | web,auth,admin     |
|        | POST     | saveModalUpdate                         | saveModalUpdate                   | App\Http\Controllers\ModalController@saveModalUpdate                      | web,auth,admin     |
|        | POST     | saveRecetteCachet                       | saveRecetteCachet                 | App\Http\Controllers\GestionsController@saveRecetteCachet                 | web,auth,admin     |
|        | POST     | saveRecetteGlobalMomo                   | saveRecetteGlobalMomo             | App\Http\Controllers\GestionsController@saveRecetteGlobalMomo             | web,auth,admin     |
|        | POST     | saveRecetteMomo                         | saveRecetteMomo                   | App\Http\Controllers\GestionsController@saveRecetteMomo                   | web,auth,admin     |
|        | POST     | saveRecettePhoto                        | saveRecettePhoto                  | App\Http\Controllers\GestionsController@saveRecettePhoto                  | web,auth,admin     |
|        | POST     | sendMessage                             | sendMessage                       | App\Http\Controllers\MessageController@sendMessage                        | web,auth,visiteur  |
|        | POST     | showInfoNav                             | showInfoNav                       | App\Http\Controllers\MessageController@showInfoNav                        | web,auth,visiteur  |
|        | GET|HEAD | test                                    | test                              | App\Http\Controllers\ConceptionContoller@test                             | web,auth,admin     |
|        | GET|HEAD | testget                                 | testget                           | App\Http\Controllers\ConceptionContoller@testpost                         | web                |
|        | POST     | testpost                                | testpost                          | App\Http\Controllers\ConceptionContoller@testpost                         | web                |
|        | POST     | updateComptePerso                       | updateComptePerso                 | App\Http\Controllers\Compte_persoController@updateComptePerso             | web,auth,visiteur  |
|        | GET|HEAD | updateGestion                           | updateGestion                     | App\Http\Controllers\GestionsController@updateGestion                     | web,auth,admin     |
|        | GET|HEAD | updateGroupeUser                        | Modifier Groupe Utilisateur       | App\Http\Controllers\TlistGroupeUserController@modification               | web,auth,admin     |
|        | POST     | updateRecetteCachet                     | updateRecetteCachet               | App\Http\Controllers\GestionsController@updateRecetteCachet               | web,auth,admin     |
|        | POST     | updateRecetteMomo                       | updateRecetteMomo                 | App\Http\Controllers\GestionsController@updateRecetteMomo                 | web,auth,admin     |
|        | POST     | updateRecettePhoto                      | updateRecettePhoto                | App\Http\Controllers\GestionsController@updateRecettePhoto                | web,auth,admin     |
|        | POST     | updateStatutBilan                       | updateStatutBilan                 | App\Http\Controllers\GestionsController@updateStatutBilan                 | web,auth,admin     |
|        | GET|HEAD | updateUser                              | Modifier Utilisateur              | App\Http\Controllers\UserController@modification                          | web,auth,admin     |
|        | POST     | uploadDataBase                          | uploadDataBase                    | App\Http\Controllers\ApplicationController@uploadDataBase                 | web,auth,admin     |
|        | GET|HEAD | uploadDataBase                          | uploadDataBase                    | App\Http\Controllers\ApplicationController@uploadDataBase                 | web,auth,admin     |
|        | POST     | uploadFichierCSV                        | uploadFichierCSV                  | App\Http\Controllers\ApplicationController@uploadFichierCSV               | web,auth,admin     |
|        | POST     | uploads                                 | uploads                           | App\Http\Controllers\ConceptionContoller@uploads                          | web,auth,admin     |
+--------+----------+-----------------------------------------+-----------------------------------+---------------------------------------------------------------------------+--------------------+
